Serial No.,College Name,Company,Package,Job Roles,Headings
544,Sanghvi Institute of Management and Science - [SIMS],No data found,No data found,No data found,No data found
545,Sarvajanik College of Engineering and Technology - [SCET],No data found,No data found,No data found,No data found
546,Seacom Engineering College,No data found,No data found,No data found,No data found
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],No data found,No data found,No data found,No data found
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],No data found,No data found,No data found,No data found
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,No data found,No data found,No data found,No data found
550,Sri Krishna Institute of Technology - [SKIT],No data found,No data found,No data found,No data found
551,Sriram Engineering College - [SEC],No data found,No data found,No data found,No data found
552,St. Thomas College of Engineering and Technology- [STC],No data found,No data found,No data found,No data found
553,Swami Vivekananda Institute of Science and Technology - [SVIST],No data found,No data found,No data found,No data found
554,Techno International New Town - [TINT],No data found,No data found,No data found,No data found
555,Theem College of Engineering - [TCOE],No data found,No data found,No data found,No data found
556,Xavier Institute of Engineering - [XIE],No data found,No data found,No data found,No data found
557,Velammal Institute of Technology - [VI-Tech],No data found,No data found,No data found,No data found
558,Vignan's Institute of Information Technology - [VIIT],No. of Total Students,-,1241,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
558,Vignan's Institute of Information Technology - [VIIT],No. of Students Placed,754,1042,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
558,Vignan's Institute of Information Technology - [VIIT],Placement Percentage,-,89%,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
558,Vignan's Institute of Information Technology - [VIIT],Highest Package,28 LPA,-,"Particulars, Placements Statistics 2023, Placements Statistics 2022"
558,Vignan's Institute of Information Technology - [VIIT],Top Companies,"MyWays, Amazon,Juspay, Cisco, Accenture, Skylark, Gurukul","Amazon, IBM, Deolitte, Accenture, Federal Bank","Particulars, Placements Statistics 2023, Placements Statistics 2022"
559,Knowledge Institute of Technology - [KIOT],No. of recruiters participated,-,117,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],No. of placement offers,-,645,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],No. of students opted for the placement drive,406,515,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],No. of students placed,355,489,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],Placement Percentage,-,95%,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],Highest CTC,INR 7 LPA,INR 18.50 LPA,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],Average CTC,INR 3.54 LPA,INR 3.03 LPA,"Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
559,Knowledge Institute of Technology - [KIOT],Top Recruiters,"Zoho, Lumen, Virtusa, HCL. Cognizant, etc.","Virtusa, Aspire Systems, Cognizant, Montbleu, Caparo Engineering, East India Technologies etc","Particulars, Placements Statistics (2021-22), Placements Statistics (2020-21)"
560,Vasireddy Venkatadri Institute of Technology - [VVIT],No data found,No data found,No data found,No data found
561,Sushant University,No data found,No data found,No data found,No data found
562,William Carey University - [WCU],No data found,No data found,No data found,No data found
563,Career Point University - [CPU],No data found,No data found,No data found,No data found
564,SRMIST Delhi NCR Campus,No. Of Companies Visited,670+,1339+,"Particulars, 2020-2021, 2021-2022, 2022-2023 (Ongoing)"
564,SRMIST Delhi NCR Campus,Job Offers,7127 (Students Placed),12362+,"Particulars, 2020-2021, 2021-2022, 2022-2023 (Ongoing)"
